[21-Apr-2013 07:24:33 UTC] PHP Notice:  Undefined index: t in C:\ClickTale\qatests\changeMonitor\ajax\safeguardAjaxLoop.php on line 27
[21-Apr-2013 07:25:38 UTC] PHP Notice:  Undefined index: t in C:\ClickTale\qatests\changeMonitor\ajax\safeguardAjaxLoop.php on line 3
[21-Apr-2013 07:25:50 UTC] PHP Notice:  Undefined index: t in C:\ClickTale\qatests\changeMonitor\ajax\safeguardAjaxLoop.php on line 3
[21-Apr-2013 07:26:49 UTC] PHP Notice:  Undefined variable: i in C:\ClickTale\qatests\changeMonitor\ajax\safeguardAjaxLoop.php on line 4
[21-Apr-2013 07:26:50 UTC] PHP Notice:  Undefined variable: i in C:\ClickTale\qatests\changeMonitor\ajax\safeguardAjaxLoop.php on line 4
[21-Apr-2013 07:26:55 UTC] PHP Notice:  Undefined variable: i in C:\ClickTale\qatests\changeMonitor\ajax\safeguardAjaxLoop.php on line 4
[21-Apr-2013 07:27:53 UTC] PHP Notice:  Undefined index: t in C:\ClickTale\qatests\changeMonitor\ajax\safeguardAjaxLoop.php on line 3
[21-Apr-2013 07:28:20 UTC] PHP Notice:  Undefined index: t in C:\ClickTale\qatests\changeMonitor\ajax\safeguardAjaxLoop.php on line 3
[21-Apr-2013 07:28:40 UTC] PHP Notice:  Undefined index: t in C:\ClickTale\qatests\changeMonitor\ajax\safeguardAjaxLoop.php on line 3
[21-Apr-2013 07:28:43 UTC] PHP Notice:  Undefined index: t in C:\ClickTale\qatests\changeMonitor\ajax\safeguardAjaxLoop.php on line 3
[21-Apr-2013 07:28:45 UTC] PHP Notice:  Undefined index: t in C:\ClickTale\qatests\changeMonitor\ajax\safeguardAjaxLoop.php on line 3
[21-Apr-2013 07:28:56 UTC] PHP Notice:  Undefined index: t in C:\ClickTale\qatests\changeMonitor\ajax\safeguardAjaxLoop.php on line 3
[21-Apr-2013 07:29:01 UTC] PHP Notice:  Undefined index: t in C:\ClickTale\qatests\changeMonitor\ajax\safeguardAjaxLoop.php on line 3
[21-Apr-2013 07:29:23 UTC] PHP Notice:  Undefined index: t in C:\ClickTale\qatests\changeMonitor\ajax\safeguardAjaxLoop.php on line 3
[21-Apr-2013 07:30:09 UTC] PHP Notice:  Undefined index: t in C:\ClickTale\qatests\changeMonitor\ajax\safeguardAjaxLoop.php on line 3
[21-Apr-2013 07:30:16 UTC] PHP Notice:  Undefined index: t in C:\ClickTale\qatests\changeMonitor\ajax\safeguardAjaxLoop.php on line 3
[21-Apr-2013 07:30:24 UTC] PHP Notice:  Undefined index: t in C:\ClickTale\qatests\changeMonitor\ajax\safeguardAjaxLoop.php on line 3
[21-Apr-2013 07:30:25 UTC] PHP Notice:  Undefined index: t in C:\ClickTale\qatests\changeMonitor\ajax\safeguardAjaxLoop.php on line 3
[21-Apr-2013 07:30:30 UTC] PHP Notice:  Undefined index: t in C:\ClickTale\qatests\changeMonitor\ajax\safeguardAjaxLoop.php on line 3
[21-Apr-2013 07:30:32 UTC] PHP Notice:  Undefined index: t in C:\ClickTale\qatests\changeMonitor\ajax\safeguardAjaxLoop.php on line 3
[21-Apr-2013 07:30:33 UTC] PHP Notice:  Undefined index: t in C:\ClickTale\qatests\changeMonitor\ajax\safeguardAjaxLoop.php on line 3
[21-Apr-2013 07:32:16 UTC] PHP Notice:  Undefined index: t in C:\ClickTale\qatests\changeMonitor\ajax\safeguardAjaxLoop.php on line 3
[21-Apr-2013 07:32:26 UTC] PHP Notice:  Undefined index: t in C:\ClickTale\qatests\changeMonitor\ajax\safeguardAjaxLoop.php on line 3
[21-Apr-2013 07:33:17 UTC] PHP Notice:  Undefined index: t in C:\ClickTale\qatests\changeMonitor\ajax\safeguardAjaxLoop.php on line 3
[21-Apr-2013 07:34:49 UTC] PHP Notice:  Undefined index: t in C:\ClickTale\qatests\changeMonitor\ajax\safeguardAjaxLoop.php on line 3
[21-Apr-2013 07:34:51 UTC] PHP Notice:  Undefined index: t in C:\ClickTale\qatests\changeMonitor\ajax\safeguardAjaxLoop.php on line 3
[21-Apr-2013 07:34:51 UTC] PHP Notice:  Undefined index: t in C:\ClickTale\qatests\changeMonitor\ajax\safeguardAjaxLoop.php on line 3
[21-Apr-2013 07:34:54 UTC] PHP Notice:  Undefined index: t in C:\ClickTale\qatests\changeMonitor\ajax\safeguardAjaxLoop.php on line 3
[21-Apr-2013 07:40:29 UTC] PHP Parse error:  syntax error, unexpected T_LIST, expecting ',' or ';' in C:\ClickTale\qatests\changeMonitor\ajax\safeguardAjaxLoop.php on line 7
[21-Apr-2013 07:40:48 UTC] PHP Parse error:  syntax error, unexpected '}', expecting ',' or ';' in C:\ClickTale\qatests\changeMonitor\ajax\safeguardAjaxLoop.php on line 32
[21-Apr-2013 07:41:45 UTC] PHP Parse error:  syntax error, unexpected '}', expecting ',' or ';' in C:\ClickTale\qatests\changeMonitor\ajax\safeguardAjaxLoop.php on line 32
[21-Apr-2013 07:53:31 UTC] PHP Parse error:  syntax error, unexpected T_VAR in C:\ClickTale\qatests\changeMonitor\ajax\safeguardAjaxLoop.php on line 9
[21-Apr-2013 07:53:46 UTC] PHP Parse error:  syntax error, unexpected T_VAR in C:\ClickTale\qatests\changeMonitor\ajax\safeguardAjaxLoop.php on line 9
[21-Apr-2013 07:54:06 UTC] PHP Parse error:  syntax error, unexpected T_VAR in C:\ClickTale\qatests\changeMonitor\ajax\safeguardAjaxLoop.php on line 9
[21-Apr-2013 07:55:28 UTC] PHP Parse error:  syntax error, unexpected T_VAR in C:\ClickTale\qatests\changeMonitor\ajax\safeguardAjaxLoop.php on line 35
[21-Apr-2013 07:55:32 UTC] PHP Parse error:  syntax error, unexpected T_VAR in C:\ClickTale\qatests\changeMonitor\ajax\safeguardAjaxLoop.php on line 35
[21-Apr-2013 07:57:58 UTC] PHP Parse error:  syntax error, unexpected T_VAR in C:\ClickTale\qatests\changeMonitor\ajax\safeguardAjaxLoop.php on line 11
[21-Apr-2013 07:59:26 UTC] PHP Parse error:  syntax error, unexpected T_VAR in C:\ClickTale\qatests\changeMonitor\ajax\safeguardAjaxLoop.php on line 11
[21-Apr-2013 07:59:55 UTC] PHP Parse error:  syntax error, unexpected T_VAR in C:\ClickTale\qatests\changeMonitor\ajax\safeguardAjaxLoop.php on line 11
[21-Apr-2013 08:00:20 UTC] PHP Parse error:  syntax error, unexpected T_VAR in C:\ClickTale\qatests\changeMonitor\ajax\safeguardAjaxLoop.php on line 9
[21-Apr-2013 08:00:53 UTC] PHP Parse error:  syntax error, unexpected T_VAR in C:\ClickTale\qatests\changeMonitor\ajax\safeguardAjaxLoop.php on line 11
[21-Apr-2013 08:00:55 UTC] PHP Parse error:  syntax error, unexpected T_VAR in C:\ClickTale\qatests\changeMonitor\ajax\safeguardAjaxLoop.php on line 11
[21-Apr-2013 08:01:18 UTC] PHP Notice:  Use of undefined constant i - assumed 'i' in C:\ClickTale\qatests\changeMonitor\ajax\safeguardAjaxLoop.php on line 14
[21-Apr-2013 08:01:18 UTC] PHP Notice:  Use of undefined constant i - assumed 'i' in C:\ClickTale\qatests\changeMonitor\ajax\safeguardAjaxLoop.php on line 14
[21-Apr-2013 08:01:18 UTC] PHP Notice:  Use of undefined constant i - assumed 'i' in C:\ClickTale\qatests\changeMonitor\ajax\safeguardAjaxLoop.php on line 14
[21-Apr-2013 08:01:18 UTC] PHP Notice:  Use of undefined constant i - assumed 'i' in C:\ClickTale\qatests\changeMonitor\ajax\safeguardAjaxLoop.php on line 14
[21-Apr-2013 08:01:21 UTC] PHP Notice:  Use of undefined constant i - assumed 'i' in C:\ClickTale\qatests\changeMonitor\ajax\safeguardAjaxLoop.php on line 14
[21-Apr-2013 08:01:21 UTC] PHP Notice:  Use of undefined constant i - assumed 'i' in C:\ClickTale\qatests\changeMonitor\ajax\safeguardAjaxLoop.php on line 14
[21-Apr-2013 08:01:21 UTC] PHP Notice:  Use of undefined constant i - assumed 'i' in C:\ClickTale\qatests\changeMonitor\ajax\safeguardAjaxLoop.php on line 14
[21-Apr-2013 08:01:21 UTC] PHP Notice:  Use of undefined constant i - assumed 'i' in C:\ClickTale\qatests\changeMonitor\ajax\safeguardAjaxLoop.php on line 14
[21-Apr-2013 08:01:50 UTC] PHP Parse error:  syntax error, unexpected T_VAR in C:\ClickTale\qatests\changeMonitor\ajax\safeguardAjaxLoop.php on line 11
